Размер массива;Выбором, случайные значения от 0 до 5;Выбором, случайные значения от 0 до 4000;Выбором, почти отсортированный;Выбором, в обратном порядке;Пузырьком, случайные значения от 0 до 5;Пузырьком, случайные значения от 0 до 4000;Пузырьком, почти отсортированный;Пузырьком, в обратном порядке;Пузырьком с Айверсоном 1, случайные значения от 0 до 5;Пузырьком с Айверсоном 1, случайные значения от 0 до 4000;Пузырьком с Айверсоном 1, почти отсортированный;Пузырьком с Айверсоном 1, в обратном порядке;Простыми вставками, случайные значения от 0 до 5;Простыми вставками, случайные значения от 0 до 4000;Простыми вставками, почти отсортированный;Простыми вставками, в обратном порядке;Бинарными вставками, случайные значения от 0 до 5;Бинарными вставками, случайные значения от 0 до 4000;Бинарными вставками, почти отсортированный;Бинарными вставками, в обратном порядке;Подсчетом, случайные значения от 0 до 5;Подсчетом, случайные значения от 0 до 4000;Подсчетом, почти отсортированный;Подсчетом, в обратном порядке;Цифровая, случайные значения от 0 до 5;Цифровая, случайные значения от 0 до 4000;Цифровая, почти отсортированный;Цифровая, в обратном порядке;Слиянием, случайные значения от 0 до 5;Слиянием, случайные значения от 0 до 4000;Слиянием, почти отсортированный;Слиянием, в обратном порядке;Быстрой разбиение Хоара, случайные значения от 0 до 5;Быстрой разбиение Хоара, случайные значения от 0 до 4000;Быстрой разбиение Хоара, почти отсортированный;Быстрой разбиение Хоара, в обратном порядке;Быстрой разбиение Ломуто, случайные значения от 0 до 5;Быстрой разбиение Ломуто, случайные значения от 0 до 4000;Быстрой разбиение Ломуто, почти отсортированный;Быстрой разбиение Ломуто, в обратном порядке;Пирамидальной, случайные значения от 0 до 5;Пирамидальной, случайные значения от 0 до 4000;Пирамидальной, почти отсортированный;Пирамидальной, в обратном порядке
50;0.000024;0.000024;0.000021;0.000022;0.000035;0.000037;0.000021;0.000050;0.000033;0.000037;0.000001;0.000050;0.000020;0.000024;0.000001;0.000049;0.000016;0.000020;0.000001;0.000034;0.000006;0.000034;0.000006;0.000006;0.000005;0.000009;0.000005;0.000009;0.000013;0.000012;0.000010;0.000010;0.000007;0.000008;0.000004;0.000004;0.000015;0.000009;0.000040;0.000027;0.000014;0.000016;0.000016;0.000014
60;0.000033;0.000033;0.000031;0.000032;0.000048;0.000053;0.000031;0.000070;0.000048;0.000051;0.000001;0.000072;0.000027;0.000034;0.000002;0.000070;0.000021;0.000026;0.000002;0.000047;0.000006;0.000023;0.000007;0.000007;0.000007;0.000010;0.000006;0.000010;0.000015;0.000015;0.000012;0.000011;0.000009;0.000010;0.000004;0.000005;0.000019;0.000009;0.000057;0.000038;0.000017;0.000019;0.000020;0.000017
70;0.000044;0.000045;0.000041;0.000043;0.000081;0.000080;0.000047;0.000104;0.000072;0.000079;0.000001;0.000098;0.000038;0.000048;0.000001;0.000102;0.000031;0.000037;0.000001;0.000063;0.000009;0.000024;0.000008;0.000008;0.000009;0.000016;0.000009;0.000016;0.000023;0.000021;0.000017;0.000017;0.000012;0.000012;0.000006;0.000005;0.000021;0.000012;0.000078;0.000051;0.000021;0.000038;0.000025;0.000021
80;0.000058;0.000058;0.000081;0.000056;0.000091;0.000096;0.000053;0.000136;0.000090;0.000095;0.000001;0.000128;0.000053;0.000063;0.000002;0.000126;0.000040;0.000047;0.000002;0.000082;0.000009;0.000025;0.000009;0.000008;0.000008;0.000013;0.000008;0.000013;0.000022;0.000021;0.000016;0.000017;0.000011;0.000014;0.000006;0.000007;0.000029;0.000014;0.000102;0.000066;0.000024;0.000039;0.000030;0.000025
90;0.000085;0.000086;0.000069;0.000083;0.000128;0.000140;0.000081;0.000181;0.000111;0.000134;0.000002;0.000184;0.000086;0.000095;0.000002;0.000420;0.000055;0.000073;0.000003;0.000142;0.000012;0.000030;0.000012;0.000013;0.000013;0.000020;0.000012;0.000022;0.000031;0.000028;0.000023;0.000024;0.000015;0.000018;0.000008;0.000009;0.000037;0.000019;0.000171;0.000103;0.000034;0.000039;0.000042;0.000034
100;0.000089;0.000090;0.000096;0.000086;0.000145;0.000154;0.000083;0.000223;0.000137;0.000155;0.000002;0.000204;0.000084;0.000112;0.000002;0.000209;0.000058;0.000077;0.000001;0.000127;0.000011;0.000029;0.000014;0.000010;0.000009;0.000016;0.000013;0.000022;0.000034;0.000028;0.000022;0.000021;0.000016;0.000017;0.000008;0.000009;0.000036;0.000017;0.000157;0.000102;0.000033;0.000036;0.000039;0.000033
110;0.000109;0.000108;0.000103;0.000105;0.000170;0.000200;0.000104;0.000244;0.000174;0.000189;0.000002;0.000265;0.000099;0.000130;0.000002;0.000237;0.000071;0.000091;0.000002;0.000153;0.000012;0.000026;0.000012;0.000011;0.000010;0.000018;0.000011;0.000017;0.000031;0.000031;0.000024;0.000023;0.000016;0.000019;0.000009;0.000010;0.000043;0.000019;0.000207;0.000139;0.000036;0.000040;0.000043;0.000037
120;0.000126;0.000138;0.000122;0.000123;0.000207;0.000224;0.000131;0.000321;0.000205;0.000226;0.000002;0.000298;0.000125;0.000156;0.000002;0.000302;0.000099;0.000108;0.000002;0.000181;0.000012;0.000028;0.000012;0.000012;0.000011;0.000019;0.000012;0.000051;0.000034;0.000035;0.000027;0.000027;0.000018;0.000020;0.000009;0.000010;0.000049;0.000023;0.000225;0.000147;0.000040;0.000046;0.000048;0.000051
130;0.000147;0.000150;0.000143;0.000146;0.000273;0.000261;0.000141;0.000342;0.000236;0.000270;0.000002;0.000348;0.000141;0.000178;0.000003;0.000330;0.000098;0.000133;0.000002;0.000210;0.000013;0.000028;0.000012;0.000013;0.000012;0.000020;0.000013;0.000020;0.000037;0.000037;0.000029;0.000029;0.000020;0.000031;0.000010;0.000011;0.000057;0.000027;0.000264;0.000171;0.000045;0.000051;0.000053;0.000054
140;0.000171;0.000173;0.000165;0.000177;0.000295;0.000329;0.000167;0.000400;0.000275;0.000337;0.000002;0.000392;0.000163;0.000213;0.000003;0.000393;0.000112;0.000139;0.000003;0.000256;0.000015;0.000029;0.000013;0.000014;0.000013;0.000021;0.000013;0.000022;0.000041;0.000041;0.000032;0.000032;0.000022;0.000024;0.000011;0.000013;0.000062;0.000026;0.000306;0.000199;0.000048;0.000056;0.000058;0.000050
